CONGLOME,VIVIENDA,HOGAR,CODPERSO,nacionalidad,ocupacion_principal,rama_actividad,anios_en_ocupacion_actual,meses_en_ocupacion_actual,tipo_contrato,indicador_pea,condicion_formalidad,sexo,edad,estado_civil,nivel_educ_venezuela,nivel_educ_peru,obtuvo_titulo,homologo_titulo_peru,tiene_carrera_superior,tipo_permiso_migratorio,mes_llegada_peru,anio_llegada_peru,discriminado_centro_trabajo,tiempo_residencia_anios,condicion_laboral,anios_escolaridad_venezuela,anios_escolaridad_peru,brecha_educativa_anios,ocupacion_grupo,rama_division,tiene_ocupacion_actual
1127,41,11,2,2,5245,1071,5.0,0.0,7,1,1.0,2,38,1,6,13, , , ,2,6.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,5,10,1
1140,31,11,1,2,9629,9609,1.0,6.0, ,1,1.0,2,44,6,4,13, , , ,1,3.0,2022.0, ,2.0,Empleado_Informal,9.0,9.0,0.0,9,96,1
1140,31,11,2,2,9313,4100,1.0,0.0,7,1,1.0,1,21,6,6,13, , , ,1,1.0,2021.0, ,3.0,Empleado_Informal,11.0,11.0,0.0,9,41,1
1140,32,11,1,2,9122,4520,0.0,7.0,7,1,1.0,1,28,2,6,13, , , ,9,2.0,2021.0,1,3.0,Empleado_Informal,11.0,11.0,0.0,9,45,1
1140,32,11,5,2,,,0.0,0.0, ,2,,2,45,6,6,13, , , ,9,7.0,2023.0,1,1.0,Desempleado,11.0,11.0,0.0,,,0
1140,33,11,1,2,9333,4923,2.0,6.0,7,1,1.0,1,28,6,5,13, , , ,1,9.0,2021.0, ,3.0,Empleado_Informal,10.0,10.0,0.0,9,49,1
1180,53,11,1,2,9411,5610,0.0,2.0, ,1,1.0,2,57,4,10,13,1,1,3,2,7.0,2018.0,0,6.0,Empleado_Informal,16.0,16.0,0.0,9,56,1
1180,53,11,2,2,3431,4771,0.0,6.0,7,1,1.0,1,28,6,10,13,1,2,3,2,5.0,2021.0, ,3.0,Empleado_Informal,16.0,16.0,0.0,3,47,1
1180,53,11,3,2,9532,4799,0.0,2.0, ,1,1.0,1,19,6,6,9, , ,0,2,7.0,2018.0, ,6.0,Empleado_Informal,11.0,13.5,-2.5,9,47,1
1180,71,11,1,2,5142,9602,2.0,0.0, ,1,1.0,2,34,5,10,13,1,2,3,2,10.0,2019.0, ,5.0,Empleado_Informal,16.0,16.0,0.0,5,96,1
1180,79,11,1,2,9411,5610,0.0,2.0, ,1,1.0,2,41,6,5,13, , , ,2,11.0,2022.0,1,2.0,Empleado_Informal,10.0,10.0,0.0,9,56,1
1180,79,11,2,2,9411,5610,0.0,2.0,7,1,1.0,1,27,6,5,13, , , ,2,11.0,2021.0,1,3.0,Empleado_Informal,10.0,10.0,0.0,9,56,1
1193,55,11,1,2,,,0.0,0.0, ,3,,2,18,6,5,13, , , ,9,7.0,2024.0,0,0.0,Desempleado,10.0,10.0,0.0,,,0
1193,56,11,1,2,9629,9609,0.0,3.0, ,1,1.0,2,41,5,10,13,2, ,3,1,2.0,2021.0, ,3.0,Empleado_Informal,16.0,16.0,0.0,9,96,1
1193,56,11,2,2,9313,4100,0.0,1.0,7,1,1.0,1,17,6,5,5, , , ,1,2.0,2021.0, ,3.0,Empleado_Informal,10.0,8.5,1.5,9,41,1
1193,56,11,3,2,,,0.0,0.0, ,3,,1,17,6,5,5, , , ,1,2.0,2021.0, ,3.0,Desempleado,10.0,8.5,1.5,,,0
1676,310,11,1,2,9411,5630,0.0,3.0, ,1,1.0,2,35,6,10,13,1,2,3,2,7.0,2018.0, ,6.0,Empleado_Informal,16.0,16.0,0.0,9,56,1
1676,312,11,1,2,7129,4330,6.0,0.0,7,1,1.0,1,34,1,6,13, , , ,1,12.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,7,43,1
1676,313,11,1,2,5142,9602,4.0,8.0, ,1,1.0,2,27,6,10,13,1,2,3,2,3.0,2019.0,0,5.0,Empleado_Informal,16.0,16.0,0.0,5,96,1
1689,313,11,1,2,4321,4530,0.0,7.0,7,1,1.0,2,38,5,3,13, , , ,6,5.0,2019.0, ,5.0,Empleado_Informal,4.5,4.5,0.0,4,45,1
1689,314,11,2,2,9112,5610,0.0,5.0,7,1,1.0,2,25,1,6,13, , , ,9,2.0,2024.0,0,0.0,Empleado_Informal,11.0,11.0,0.0,9,56,1
1689,315,11,1,2,9532,4799,2.0,0.0, ,1,1.0,1,57,1,5,13, , , ,2,8.0,2020.0, ,4.0,Empleado_Informal,10.0,10.0,0.0,9,47,1
1689,315,11,2,2,9411,5610,3.0,0.0, ,1,1.0,2,46,1,6,13, , , ,2,8.0,2021.0, ,3.0,Empleado_Informal,11.0,11.0,0.0,9,56,1
2246,101,11,1,2,5131,5610,3.0,0.0,7,1,1.0,1,20,1,3,13, , , ,1,7.0,2020.0,1,4.0,Empleado_Informal,4.5,4.5,0.0,5,56,1
2246,101,11,2,2,5131,5610,1.0,0.0,7,1,1.0,2,21,1,4,13, , , ,8,3.0,2020.0,1,4.0,Empleado_Informal,9.0,9.0,0.0,5,56,1
2246,102,11,1,2,5120,5610,1.0,0.0,7,1,1.0,2,37,1,3,13, , , ,1,7.0,2022.0, ,2.0,Empleado_Informal,4.5,4.5,0.0,5,56,1
2246,102,11,2,2,9629,4781,0.0,8.0,7,1,1.0,1,38,1,3,13, , , ,1,4.0,2022.0,0,2.0,Empleado_Informal,4.5,4.5,0.0,9,47,1
2246,103,11,1,2,5120,5610,1.0,9.0,7,1,1.0,2,24,1,4,13, , , ,1,3.0,2019.0,1,5.0,Empleado_Informal,9.0,9.0,0.0,5,56,1
2262,107,11,1,2,9622,4781,2.0,0.0,7,1,1.0,1,37,6,4,13, , , ,1,2.0,2021.0, ,3.0,Empleado_Informal,9.0,9.0,0.0,9,47,1
2262,108,11,1,2,9511,4799,0.0,6.0,7,1,1.0,2,20,1,4,13, , , ,1,5.0,2018.0,0,6.0,Empleado_Informal,9.0,9.0,0.0,9,47,1
2262,108,11,2,1,9333,4663,3.0,0.0,7,1,1.0,1,20,1,3,13, , , ,,,,,,Empleado_Informal,4.5,4.5,0.0,9,46,1
2262,108,11,4,2,5141,9602,0.0,7.0,7,1,1.0,1,17,6,3,13, , , ,9,9.0,2023.0, ,1.0,Empleado_Informal,4.5,4.5,0.0,5,96,1
2262,109,11,2,1,3115,4321,18.0,0.0, ,1,2.0,1,56,2,8,13,1,2,3,,,,,,Empleado_Formal,14.0,14.0,0.0,3,43,1
2262,109,11,3,2,7421,4321,2.0,9.0,7,1,1.0,1,24,6,6,13, , , ,4,8.0,2019.0,0,5.0,Empleado_Informal,11.0,11.0,0.0,7,43,1
2262,109,11,5,2,7421,4321,0.0,8.0,7,1,1.0,1,21,6,4,13, , , ,4,11.0,2018.0, ,6.0,Empleado_Informal,9.0,9.0,0.0,7,43,1
2574,223,11,1,2,9333,5224,6.0,0.0, ,1,1.0,1,37,1,6,6, , ,1,2,8.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,9,52,1
2574,223,11,2,2,7513,1071,3.0,0.0, ,1,1.0,2,37,1,10,10, , ,3,2,8.0,2018.0, ,6.0,Empleado_Informal,16.0,16.0,0.0,7,10,1
2574,224,11,1,2,5142,9602,1.0,6.0, ,1,2.0,2,35,6,10,10, , ,3,2,3.0,2018.0, ,6.0,Empleado_Formal,16.0,16.0,0.0,5,96,1
2574,226,11,1,2,5131,5610,1.0,0.0,7,1,1.0,1,46,6,6,13, , , ,2,11.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,5,56,1
2591,229,11,1,2,9621,4923,0.0,1.0, ,1,1.0,1,32,6,6,13, , , ,2,8.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,9,49,1
2591,230,11,1,2,7352,1410,1.0,0.0, ,1,2.0,2,43,2,9,13, , ,3,2,12.0,2021.0, ,3.0,Empleado_Formal,13.5,13.5,0.0,7,14,1
2591,230,11,2,2,9621,4923,0.0,1.0, ,1,1.0,1,44,2,9,13, , ,3,2,7.0,2018.0, ,6.0,Empleado_Informal,13.5,13.5,0.0,9,49,1
2591,231,11,1,2,5212,4773,1.0,0.0,7,1,1.0,2,60,2,6,13, , , ,2,8.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,5,47,1
2591,231,11,2,2,5212,4773,1.0,0.0,7,1,1.0,1,70,2,3,13, , , ,2,8.0,2018.0, ,6.0,Empleado_Informal,4.5,4.5,0.0,5,47,1
2689,265,11,2,2,9541,4799,0.0,1.0,7,1,1.0,1,18,6,6,13, , , ,2,7.0,2021.0, ,3.0,Empleado_Informal,11.0,11.0,0.0,9,47,1
2689,265,11,3,2,9541,4799,1.0,0.0, ,1,1.0,2,27,1,6,13, , , ,2,11.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,9,47,1
2689,265,11,4,2,9122,4520,1.0,0.0,7,1,1.0,1,19,1,4,13, , , ,1,3.0,2022.0, ,2.0,Empleado_Informal,9.0,9.0,0.0,9,45,1
2689,266,11,1,2,9629,9609,2.0,0.0, ,1,1.0,2,51,6,10,13,1,2,3,2,12.0,2019.0, ,5.0,Empleado_Informal,16.0,16.0,0.0,9,96,1
2689,266,11,2,2,8322,4922,0.0,10.0, ,1,1.0,1,27,6,6,13, , , ,2,8.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,8,49,1
2689,268,11,1,2,5131,5610,1.0,0.0,7,1,1.0,2,19,6,4,13, , , ,1,9.0,2021.0,1,3.0,Empleado_Informal,9.0,9.0,0.0,5,56,1
2706,272,11,1,2,9111,9700,99.0,99.0,7,1,1.0,2,32,6,5,13, , , ,1,11.0,2018.0, ,6.0,Empleado_Informal,10.0,10.0,0.0,9,97,1
2706,273,11,1,2,8321,4922,0.0,3.0, ,1,1.0,1,38,6,10,13,1,2,3,2,11.0,2018.0,0,6.0,Empleado_Informal,16.0,16.0,0.0,8,49,1
2706,274,11,1,2,5322,9609,0.0,7.0, ,1,1.0,2,48,2,4,13, , , ,2,9.0,2018.0, ,6.0,Empleado_Informal,9.0,9.0,0.0,5,96,1
2706,274,11,2,2,9333,5224,4.0,0.0, ,1,1.0,1,47,2,6,13, , , ,2,3.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,9,52,1
2706,274,11,5,2,,,0.0,0.0, ,2,,2,17,5,4,13, , , ,1,9.0,2019.0,0,5.0,Desempleado,9.0,9.0,0.0,,,0
2903,343,11,1,2,9629,4520,1.0,0.0,7,1,1.0,1,55,1,10,13,1,2,3,1,7.0,2023.0, ,1.0,Empleado_Informal,16.0,16.0,0.0,9,45,1
2903,343,11,2,2,5212,4540,1.0,0.0,7,1,1.0,2,37,1,6,13, , , ,1,7.0,2023.0, ,1.0,Empleado_Informal,11.0,11.0,0.0,5,45,1
2903,345,11,1,2,9621,4661,4.0,0.0,7,1,1.0,1,32,1,6,13, , , ,2,5.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,9,46,1
2903,345,11,2,2,5212,4540,0.0,2.0,7,1,1.0,2,31,1,6,13, , , ,1,12.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,5,45,1
2903,346,11,1,2,8141,4520,2.0,0.0,3,1,1.0,1,25,1,7,13, , ,3,1,12.0,2022.0,0,2.0,Empleado_Informal,12.5,12.5,0.0,8,45,1
2920,349,11,1,2,7422,4321,1.0,2.0,2,1,2.0,1,34,1,4,13, , , ,2,3.0,2019.0, ,5.0,Empleado_Formal,9.0,9.0,0.0,7,43,1
2920,349,11,2,2,4224,8620,4.0,99.0,7,1,1.0,2,26,1,9,13, , ,3,2,8.0,2019.0, ,5.0,Empleado_Informal,13.5,13.5,0.0,4,86,1
2920,351,11,1,2,9411,5610,1.0,0.0, ,1,1.0,2,36,5,6,13, , , ,2,10.0,2017.0, ,7.0,Empleado_Informal,11.0,11.0,0.0,9,56,1
2920,351,11,2,2,9524,4799,0.0,1.0,7,1,1.0,2,15,6,3,4, , , ,6,6.0,2019.0, ,5.0,Empleado_Informal,4.5,6.0,-1.5,9,47,1
2920,352,11,1,2,5243,4791,3.0,0.0, ,1,1.0,1,27,2,6,13, , , ,1,3.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,5,47,1
2920,352,11,2,2,5243,4791,3.0,0.0, ,1,1.0,2,30,2,6,13, , , ,1,3.0,2019.0, ,5.0,Empleado_Informal,11.0,11.0,0.0,5,47,1
3002,382,11,1,2,8322,4922,0.0,4.0, ,1,1.0,1,50,1,5,13, , , ,2,1.0,2021.0,1,3.0,Empleado_Informal,10.0,10.0,0.0,8,49,1
